Time,Risk Score
0,4.035004008504422
60,4.030742072131862
120,0
180,0
240,0
300,0
360,0
420,0
480,0
540,0
600,0
660,0
720,3.477789701636491
780,3.2349251143680022
840,3.2942219340794865
900,3.219811697807525
960,3.121469069740919
1020,3.019892319933755
1080,2.9156025787588704
1140,2.867273044853728
1200,2.7638566152596717
1260,2.658920124496922
1320,2.5529368670074795
1380,2.44636674991747
1440,2.339653236303527
1500,2.2332205884193717
1560,2.127471429721055
1620,2.022784639180595
1680,1.9195135860810753
1740,1.8179847083342264
1800,1.718496432439023
1860,0
1920,0
1980,0
2040,0
2100,0
2160,0
2220,0
2280,0
2340,0
2400,3.841029012391431
2460,3.632114722753107
2520,0
2580,0
2640,0
2700,0
2760,3.5463086959286274
2820,3.314540627786937
2880,3.39650237365551
2940,3.313650828390119
3000,3.2261041473672085
3060,3.1343390986155324
3120,3.0388462958603206
3180,2.9401257421293736
3240,2.8386824017333967
3300,2.7350218552124086
3360,2.629646088934848
3420,2.5230494673638484
3480,2.415714931660637
3540,2.7121007734870064
3600,0
3660,0
3720,0
3780,0
3840,0
3900,0
3960,0
4020,0
4080,0
4140,2.6819367548650366
4200,2.4371976541087306
4260,0
4320,0
4380,0
4440,0
4500,0
4560,0
4620,0
4680,1.9780738815480359
4740,1.7729487170283758
4800,1.8808396857739669
4860,1.8055584072156752
4920,1.8036127958382848
4980,1.7340602658674467
5040,1.6649489550959695
5100,1.5964269974246443
5160,1.528635919864976
5220,1.4617102159710174
5280,1.3957769582872348
5340,1.3309554526492144
5400,1.2673569368983615
5460,1.2050843262396704
5520,1.1442320070899537
5580,1.0848856808401008
5640,1.0271222584976143
5700,0.9710098066936705
5760,0.9166075450416015
5820,0.8639658943303097
5880,0.813126574535913
5940,0.7641227511466906
6000,0.7169792278285685
6060,0.6717126830185869
