Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,SP1,SP4
5,P,Christian Fittipaldi,1,1:29.139,1900-01-01 00:01:29.139000,Green,Track,3.46,12.262,0.531,13.85,10.289000000000001,8.91,0.525,13.355,9.888,9.836,2.177,4.055,148.947,154.545
85,P,Misha Goikhberg,1,1:30.306,1900-01-01 00:01:30.306000,Green,Track,3.676,12.690999999999999,0.525,13.770999999999999,10.404000000000002,8.942,0.522,13.417,10.379000000000001,9.591000000000001,2.1430000000000002,3.971,150.649,155.434
31,P,Eric Curran,1,1:30.979,1900-01-01 00:01:30.979000,Green,Track,3.7110000000000003,12.765,0.532,14.151,10.434000000000001,9.04,0.529,13.583,10.132,9.625,2.193,4.07,148.667,153.377
55,P,Jonathan Bomarito,1,1:31.510,1900-01-01 00:01:31.510000,Green,Track,3.823,12.556,0.53,14.378,10.542,8.873,0.526,13.852,10.193,9.658999999999999,2.167,4.001,149.22799999999998,154.252
70,P,Tom Long,1,1:32.168,1900-01-01 00:01:32.168000,Green,Track,3.938,12.727,0.521,14.254000000000001,10.693,8.887,0.53,13.87,10.273,9.746,2.169,4.011,151.806,153.08700000000002
2,P,Scott Sharp,1,1:32.628,1900-01-01 00:01:32.628000,Green,Track,3.878,13.115,0.531,14.615,10.869000000000002,8.904,0.516,13.522,10.244000000000002,9.875,2.166,3.988,148.947,157.241
10,P,Ricky Taylor,1,1:33.145,1900-01-01 00:01:33.145000,Green,Track,3.7510000000000003,12.384,0.517,14.372,11.085,9.071,0.524,13.300999999999998,10.109,9.84,2.191,4.035,152.98,154.84
90,P,Renger Van Der Zande,1,1:33.802,1900-01-01 00:01:33.802000,Green,Track,3.654,12.53,0.5379999999999999,14.577,11.536,9.19,0.53,13.465,9.969,9.922,2.25,4.112,147.009,153.08700000000002
38,PC,James French,1,1:35.574,1900-01-01 00:01:35.574000,Green,Track,3.873,12.985999999999999,0.591,15.339,11.12,9.23,0.5529999999999999,13.962,10.362,10.141,2.272,4.192,133.826,146.72
26,PC,Tomy Drissi,1,1:39.262,1900-01-01 00:01:39.262000,Green,Track,4.113,13.32,0.562,14.866,11.355,9.55,0.627,14.829,10.993,10.573,2.346,4.317,140.731,129.404
22,P,Ed Brown,1,1:40.230,1900-01-01 00:01:40.230000,Green,Track,4.545,13.405999999999999,0.578,15.175,11.161,9.177999999999999,0.626,15.298,11.177,10.751,2.279,4.251,136.835,129.611
20,PC,Don Yount,1,1:41.562,1900-01-01 00:01:41.562000,Green,Track,4.377,13.485999999999999,0.5660000000000001,15.515,11.23,9.363,0.606,14.873,11.130999999999998,11.023,2.347,4.428,139.737,133.888
57,GTD,Lawson Aschenbach,1,1:41.869,1900-01-01 00:01:41.869000,Green,Track,3.5639999999999996,13.167,0.578,13.948,10.529000000000002,9.87,0.5770000000000001,13.552,10.305,10.357999999999999,2.403,4.434,136.835,140.618
93,GTD,Katherine Legge,1,1:43.649,1900-01-01 00:01:43.649000,Green,Track,3.855,13.117,0.5660000000000001,14.165,10.833,9.705,0.5670000000000001,13.874,10.741,10.624,2.385,4.39,139.737,143.09799999999998
