"POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,IMSACarId,IMSATeamId,IMSACarClassId,IMSACarTypeId,IMSAManufacturerId,IMSATiresId,IMSASponsorId,IMSAEventEntryId,*Extra 9,*Extra 10,DRIVER1_FIRSTNAME,DRIVER1_SECONDNAME,DRIVER1_LICENSE,DRIVER1_HOMETOWN,DRIVER1_COUNTRY,DRIVER1_SHORTNAME,DRIVER1_IMSADriverId,DRIVER1_IMSADriverPlugId,DRIVER1_IMSADriverRatingLong,DRIVER1_*Extra 4,DRIVER1_*Extra 5,DRIVER2_FIRSTNAME,DRIVER2_SECONDNAME,DRIVER2_LICENSE,DRIVER2_HOMETOWN,DRIVER2_COUNTRY,DRIVER2_SHORTNAME,DRIVER2_IMSADriverId,DRIVER2_IMSADriverPlugId,DRIVER2_IMSADriverRatingLong,DRIVER2_*Extra 4,DRIVER2_*Extra 5,DRIVER3_FIRSTNAME,DRIVER3_SECONDNAME,DRIVER3_LICENSE,DRIVER3_HOMETOWN,DRIVER3_COUNTRY,DRIVER3_SHORTNAME,DRIVER3_IMSADriverId,DRIVER3_IMSADriverPlugId,DRIVER3_IMSADriverRatingLong,DRIVER3_*Extra 4,DRIVER3_*Extra 5,DRIVER4_FIRSTNAME,DRIVER4_SECONDNAME,DRIVER4_LICENSE,DRIVER4_HOMETOWN,DRIVER4_COUNTRY,DRIVER4_SHORTNAME,DRIVER4_IMSADriverId,DRIVER4_IMSADriverPlugId,DRIVER4_IMSADriverRatingLong,DRIVER4_*Extra 4,DRIVER4_*Extra 5,DRIVER5_FIRSTNAME,DRIVER5_SECONDNAME,DRIVER5_LICENSE,DRIVER5_HOMETOWN,DRIVER5_COUNTRY,DRIVER5_SHORTNAME,DRIVER5_IMSADriverId,DRIVER5_IMSADriverPlugId,DRIVER5_IMSADriverRatingLong,DRIVER5_*Extra 4,DRIVER5_*Extra 5,DRIVER6_FIRSTNAME,DRIVER6_SECONDNAME,DRIVER6_LICENSE,DRIVER6_HOMETOWN,DRIVER6_COUNTRY,DRIVER6_SHORTNAME,DRIVER6_IMSADriverId,DRIVER6_IMSADriverPlugId,DRIVER6_IMSADriverRatingLong,DRIVER6_*Extra 4,DRIVER6_*Extra 5,"
"11,73,Classified,56,1:40:45.592,1 Lap,+2.489,55,1:30.641,150.2,Park Place Motorsports,GTD,,,Porsche  911 GT3 R,C,40,40,4,1,909,1,,211,,,Patrick,Lindsey,Silver,,USA,,697,1,,,,Jorg,Bergmeister,Platinum,,DEU,,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"12,63,Classified,56,1:40:50.153,1 Lap,+4.561,48,1:30.720,150.1,Scuderia Corsa,GTD,,,Ferrari 488 GT3,C,37,25,4,1,909,1,,210,,,Christina,Nielsen,Silver,,DNK,,414,1,,,,Alessandro,Balzan,Gold,,ITA,,681,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"13,23,Classified,56,1:40:53.263,1 Lap,+3.110,45,1:30.973,149.7,Team Seattle / Alex Job Racing,GTD,,,Porsche 911 GT3 R,C,28,28,4,14,112,1,,194,,,Mario,Farnbacher,Silver,,DEU,,318,2,,,,Alex,Riberas,Silver,,ESP,,659,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"14,6,Classified,56,1:40:54.586,1 Lap,+1.323,46,1:31.237,149.2,Stevenson Motorsports,GTD,,,Audi R8 LMS GT3,C,41,41,4,12,909,1,,189,,,Robin,Liddell,Gold,,GBR,,411,1,,,,Andrew,Davis,Silver,,USA,,329,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"15,16,Classified,56,1:40:55.735,1 Lap,+1.149,53,1:31.232,149.2,Change Racing,GTD,,,Lamborghini Huracan GT3,C,31,31,4,13,1609,1,,192,,,Spencer,Pumpelly,Gold,,USA,,64,2,,,,Corey,Lewis,Bronze,,USA,,763,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"16,22,Classified,56,1:40:56.504,1 Lap,+0.769,51,1:31.072,149.5,Alex Job Racing,GTD,,,Porsche 911 GT3 R,C,27,27,4,14,112,1,,193,,,Cooper,MacNeil,Silver,,USA,,113,1,,,,Leh,Keen,Gold,,USA,,114,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"17,48,Classified,56,1:40:56.968,1 Lap,+0.464,47,1:30.971,149.7,Paul Miller Racing,GTD,,,Lamborghini Huracan GT3,C,34,34,4,1,909,1,,206,,,Bryan,Sellers,Gold,,USA,,18,1,,,,Madison,Snow,Silver,,USA,,155,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"18,96,Classified,56,1:40:58.767,1 Lap,+1.799,46,1:31.253,149.2,Turner Motorsports,GTD,,,BMW M6 GT3,C,38,38,4,1,909,1,,214,,,Bret,Curtis,Bronze,,USA,,126,1,,,,Jens,Klingmann,Gold,,DEU,,902,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"19,44,Classified,56,1:41:01.908,1 Lap,+3.141,51,1:31.222,149.3,Magnus Racing,GTD,,,Audi R8 LMS GT3,C,32,32,4,1,909,1,,205,,,John,Potter,Bronze,,USA,,670,1,,,,Andy,Lally,Gold,,USA,,25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"20,97,Classified,56,1:41:02.861,1 Lap,+0.953,51,1:31.269,149.2,Turner Motorsports,GTD,,,BMW M6 GT3,C,39,38,4,1,909,1,,215,,,Michael,Marsal,Silver,,USA,,185,1,,,,Markus,Palttala,Gold,,FIN,,702,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"21,27,Classified,56,1:41:09.720,1 Lap,+6.859,51,1:31.137,149.4,Dream Racing,GTD,,,Lamborghini Huracan GT3,C,93,93,4,13,1609,1,,195,,,Lawrence,DeGeorge,Bronze,,USA,,964,1,,,,Cedric,Sbirrazzuoli,Silver,,MCO,,957,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"22,60,Classified,54,1:40:53.315,3 Laps,2 Laps,50,1:25.418,159.4,Michael Shank Racing w/Curb-Agajanian,P,,,Honda HPD Ligier JS P2,C,3,3,1,11,2081,1,,179,,,Oswaldo,Negri Jr.,Silver,,BRA,,413,3,,,,Katherine,Legge,Silver,,GBR,,384,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"23,31,Classified,40,1:40:14.379,17 Laps,14 Laps,27,1:23.138,163.8,Action Express Racing,P,,,Chevrolet Corvette DP,C,2,1,1,3,105,1,,177,,,Dane,Cameron,Gold,,USA,,54,1,,,,Eric,Curran,Gold,,USA,,382,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"24,88,Classified,29,54:28.029,28 Laps,11 Laps,22,1:31.610,148.6,Starworks Motorsports,PC,,,ORECA FLM09,C,13,12,2,5,105,1,,188,,,Mark,Kvamme,Bronze,,USA,,656,1,,,,Ashley,Freiberg,Silver,,USA,,336,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"25,9,Classified,25,1:40:51.388,32 Laps,4 Laps,16,1:31.443,148.9,Stevenson Motorsports,GTD,,,Audi R8 LMS GT3,C,42,41,4,12,909,1,,190,,,Lawson,Aschenbach,Gold,,USA,,380,3,,,,Matt,Bell,Gold,,USA,,424,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"26,85,Classified,18,1:23:18.132,39 Laps,7 Laps,15,1:44.164,130.7,JDC-Miller Motorsports,PC,,,ORECA FLM09,C,15,15,2,5,105,1,,187,,,Misha,Goikhberg,Silver,,CAN,,168,4,,,,Stephen,Simpson,Silver,,ZAF,,765,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"27,90,Classified,9,12:56.930,48 Laps,9 Laps,8,1:25.371,159.5,VisitFlorida Racing,P,,,Chevrolet Corvette DP,C,6,6,1,3,105,1,,181,,,Marc,Goossens,Gold,,BEL,,239,1,,,,Ryan,Dalziel,Platinum,,GBR,,192,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
