Car,Class,Driver,Lap,Lap Time,Session Time,Flag,Location,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,SP1,SP4
22,P,Pipo Derani,1,1:28.147,1900-01-01 00:01:28.147000,Green,Track,3.4930000000000003,11.994000000000002,0.523,13.705,10.307,8.884,0.522,13.120999999999999,9.933,9.568,2.127,3.969,151.225,155.434
6,P,Juan Pablo Montoya,1,1:29.058,1900-01-01 00:01:29.058000,Green,Track,3.529,12.171,0.521,14.001,10.328,8.953,0.525,13.194,9.88,9.482000000000001,2.154,4.001,151.806,154.545
7,P,Helio Castroneves,1,1:30.426,1900-01-01 00:01:30.426000,Green,Track,3.675,12.311,0.519,14.127,10.597999999999999,8.874,0.52,13.384,10.043,9.685,2.123,3.9589999999999996,152.391,156.031
5,P,Joao Barbosa,1,1:31.701,1900-01-01 00:01:31.701000,Green,Track,3.818,12.242,0.545,14.405,10.752,9.083,0.536,13.542,9.98,9.676,2.186,4.074,145.121,151.374
10,P,Renger Van Der Zande,1,1:32.552,1900-01-01 00:01:32.552000,Green,Track,0.0,0.0,0.53,14.274000000000001,10.658,8.937999999999999,0.528,13.679,9.939,10.095,2.319,4.143,149.22799999999998,153.667
31,P,Eric Curran,1,1:32.740,1900-01-01 00:01:32.740000,Green,Track,3.741,12.999,0.54,14.049000000000001,10.668,9.214,0.537,13.769,9.861,9.596,2.193,4.055,146.465,151.092
55,P,Jonathan Bomarito,1,1:32.987,1900-01-01 00:01:32.987000,Green,Track,3.6210000000000004,13.314,0.5329999999999999,14.183,10.61,8.941,0.53,13.944,9.991,9.557,2.148,3.9810000000000003,148.388,153.08700000000002
77,P,Tristan Nunez,1,1:33.523,1900-01-01 00:01:33.523000,Green,Track,3.773,13.07,0.537,14.571,10.728,8.886000000000001,0.531,13.97,10.041,9.554,2.157,4.0089999999999995,147.283,152.799
99,P,Misha Goikhberg,1,1:34.452,1900-01-01 00:01:34.452000,Green,Track,3.8710000000000004,12.534,0.525,14.662,11.064,9.215,0.522,15.122,10.169,9.689,2.133,3.957,150.649,155.434
2,P,Scott Sharp,1,1:34.986,1900-01-01 00:01:34.986000,Green,Track,3.8739999999999997,12.875,0.573,14.735999999999999,10.751,8.823,0.526,14.706,10.265999999999998,9.762,2.145,3.9730000000000003,138.03,154.252
52,P,Sebastian Saavedra,1,1:35.854,1900-01-01 00:01:35.854000,Green,Track,3.88,12.833,0.5489999999999999,15.030999999999999,10.870999999999999,9.104,0.526,14.380999999999998,10.345999999999998,9.959,2.1830000000000003,4.013999999999999,144.064,154.252
85,P,Robert Alon,1,1:36.390,1900-01-01 00:01:36.390000,Green,Track,4.02,12.677,0.56,15.124,10.949000000000002,9.01,0.5479999999999999,14.308,10.219,10.254000000000001,2.185,4.012,141.234,148.059
90,P,Matthew McMurry,1,1:36.947,1900-01-01 00:01:36.947000,Green,Track,4.023,12.823,0.54,15.860999999999999,10.863,9.075,0.5329999999999999,14.194,10.39,10.142999999999999,2.239,4.1,146.465,152.226
54,P,Jonathan Bennett,1,1:38.225,1900-01-01 00:01:38.225000,Green,Track,3.9219999999999997,12.98,0.598,15.21,10.878,9.059,0.602,14.777000000000001,10.7,10.058,2.267,4.082,132.259,134.778
48,GTD,Bryan Sellers,1,1:39.481,1900-01-01 00:01:39.481000,Green,Track,3.937,13.418,0.5710000000000001,14.955,11.026,9.796,0.5770000000000001,13.914000000000001,10.610999999999999,10.449000000000002,2.401,4.44,138.513,140.618
86,GTD,Katherine Legge,1,1:39.756,1900-01-01 00:01:39.756000,Green,Track,4.303999999999999,13.591,0.5710000000000001,14.798,11.142000000000001,9.742,0.573,14.088,10.585999999999999,10.328,2.3930000000000002,4.395,138.513,141.599
93,GTD,Justin Marks,1,1:40.279,1900-01-01 00:01:40.279000,Green,Track,4.217,13.694,0.5660000000000001,15.306,10.902999999999999,9.777999999999999,0.57,14.255999999999998,10.455,10.118,2.355,4.373,139.737,142.344
14,GTD,Dominik Baumann,1,1:41.079,1900-01-01 00:01:41.079000,Green,Track,4.152,13.552,0.563,15.224,10.931,9.772,0.5710000000000001,15.06,10.475999999999999,10.319,2.38,4.3919999999999995,140.481,142.095
33,GTD,Ben Keating,1,1:41.701,1900-01-01 00:01:41.701000,Green,Track,3.95,13.860999999999999,0.575,15.288,10.93,9.687000000000001,0.5670000000000001,14.709000000000001,10.592,10.49,2.3890000000000002,4.393,137.549,143.09799999999998
15,GTD,David Heinemeier Hansson,1,1:42.200,1900-01-01 00:01:42.200000,Green,Track,4.1080000000000005,13.828,0.573,15.467,11.115,9.925,0.569,14.44,10.742,10.399000000000001,2.418,4.405,138.03,142.595
63,GTD,Cooper MacNeil,1,1:42.332,1900-01-01 00:01:42.332000,Green,Track,4.154,13.645999999999999,0.574,15.764000000000001,11.079,9.824,0.583,14.450999999999999,10.754000000000001,10.367,2.364,4.363,137.789,139.17
16,GTD,Michael Schein,1,1:43.209,1900-01-01 00:01:43.209000,Green,Track,4.192,13.693,0.5710000000000001,16.105,11.177999999999999,9.927999999999999,0.5770000000000001,14.15,10.728,10.642000000000001,2.398,4.401,138.513,140.618
75,GTD,Kenny Habul,1,1:43.388,1900-01-01 00:01:43.388000,Green,Track,4.168,13.744000000000002,0.578,16.387999999999998,10.918,9.789,0.578,14.069,10.764000000000001,10.459000000000001,2.392,4.374,136.835,140.374
58,GTD,Christina Nielsen,1,1:45.121,1900-01-01 00:01:45.121000,Green,Track,4.221,13.855,0.5720000000000001,16.889,11.258,10.05,0.58,14.505,10.652999999999999,10.690999999999999,2.5,4.513,138.27100000000002,139.89
96,GTD,Robby Foley,1,1:45.198,1900-01-01 00:01:45.198000,Green,Track,4.084,13.876,0.5670000000000001,16.619,11.463,9.866,0.5720000000000001,14.658,10.549000000000001,10.585999999999999,2.449,4.502,139.49,141.847
44,GTD,John Potter,1,1:45.605,1900-01-01 00:01:45.605000,Green,Track,4.024,13.975,0.5870000000000001,16.465999999999998,11.498,9.998,0.584,14.549000000000001,10.567,10.552,2.4330000000000003,4.494,134.737,138.93200000000002
22,P,Pipo Derani,2,1:26.311,1900-01-01 00:02:54.458000,Green,Track,3.136,11.328,0.514,13.651,10.148,8.838,0.52,12.776,9.716000000000001,9.583,2.126,3.975,153.873,156.031
6,P,Juan Pablo Montoya,2,1:26.664,1900-01-01 00:02:55.722000,Green,Track,3.085,11.558,0.52,13.446,10.164,8.927999999999999,0.527,12.958,9.874,9.462,2.145,3.997,152.09799999999998,153.959
7,P,Helio Castroneves,2,1:26.534,1900-01-01 00:02:56.960000,Green,Track,3.09,11.537,0.514,13.367,10.162,8.862,0.531,13.127,9.908999999999999,9.402999999999999,2.1,3.932,153.873,152.799
5,P,Joao Barbosa,2,1:27.018,1900-01-01 00:02:58.719000,Green,Track,3.158,11.703,0.528,13.405999999999999,10.062999999999999,8.99,0.529,13.07,9.892000000000001,9.497,2.149,4.033,149.793,153.377
10,P,Renger Van Der Zande,2,1:26.915,1900-01-01 00:02:59.467000,Green,Track,3.2539999999999996,11.595,0.522,13.209000000000001,9.906,8.934,0.525,13.102,9.96,9.7,2.169,4.039,151.515,154.545
31,P,Eric Curran,2,1:27.342,1900-01-01 00:03:00.082000,Green,Track,3.25,11.947000000000001,0.526,13.452,9.863,8.933,0.528,12.908,9.896,9.68,2.255,4.104,150.363,153.667
77,P,Tristan Nunez,2,1:26.653,1900-01-01 00:03:00.176000,Green,Track,3.108,11.558,0.515,13.683,10.039,8.913,0.528,12.868,9.777999999999999,9.511000000000001,2.142,4.01,153.575,153.667
55,P,Jonathan Bomarito,2,1:27.636,1900-01-01 00:03:00.623000,Green,Track,3.2939999999999996,11.735999999999999,0.523,14.258,10.149,8.852,0.526,12.985999999999999,9.79,9.432,2.129,3.9610000000000003,151.225,154.252
99,P,Misha Goikhberg,2,1:26.876,1900-01-01 00:03:01.328000,Green,Track,3.1319999999999997,11.525,0.514,13.482999999999999,10.377,8.832,0.513,13.19,9.857999999999999,9.392000000000001,2.116,3.944,153.873,158.161
2,P,Scott Sharp,2,1:27.209,1900-01-01 00:03:02.195000,Green,Track,3.1260000000000003,11.76,0.519,13.392000000000001,10.148,8.883,0.519,13.175,10.038,9.527000000000001,2.145,3.977,152.391,156.332
52,P,Sebastian Saavedra,2,1:27.497,1900-01-01 00:03:03.351000,Green,Track,2.997,11.694,0.525,13.538,10.206,8.932,0.522,12.992,10.18,9.685,2.199,4.027,150.649,155.434
85,P,Robert Alon,2,1:27.283,1900-01-01 00:03:03.673000,Green,Track,3.122,11.497,0.513,13.66,10.302,8.954,0.525,13.072000000000001,9.89,9.613999999999999,2.134,4.0,154.173,154.545
90,P,Matthew McMurry,2,1:27.233,1900-01-01 00:03:04.180000,Green,Track,3.0610000000000004,11.594000000000001,0.526,13.469000000000001,10.275,8.969,0.525,13.117,10.01,9.472999999999999,2.173,4.041,150.363,154.545
54,P,Jonathan Bennett,2,1:29.629,1900-01-01 00:03:07.854000,Green,Track,3.3789999999999996,11.981,0.523,13.925999999999998,10.363,9.013,0.523,13.512,10.255999999999998,9.95,2.191,4.012,151.225,155.136
48,GTD,Bryan Sellers,2,1:32.022,1900-01-01 00:03:11.503000,Green,Track,3.404,12.582,0.57,13.658,10.568,9.802,0.578,13.384,10.368,10.272,2.3890000000000002,4.447,138.756,140.374
86,GTD,Katherine Legge,2,1:32.345,1900-01-01 00:03:12.101000,Green,Track,3.451,12.959000000000001,0.5710000000000001,13.783,10.350999999999999,9.808,0.574,13.365,10.267999999999999,10.327,2.4330000000000003,4.455,138.513,141.35299999999998
93,GTD,Justin Marks,2,1:32.179,1900-01-01 00:03:12.458000,Green,Track,3.465,12.751,0.569,13.776,10.520999999999999,9.722000000000001,0.5710000000000001,13.447000000000001,10.485,10.107999999999999,2.377,4.387,139.0,142.095
14,GTD,Dominik Baumann,2,1:31.975,1900-01-01 00:03:13.054000,Green,Track,3.39,12.552999999999999,0.56,13.844000000000001,10.558,9.686,0.5660000000000001,13.42,10.362,10.270999999999999,2.373,4.3919999999999995,141.234,143.35
33,GTD,Ben Keating,2,1:32.132,1900-01-01 00:03:13.833000,Green,Track,3.2689999999999997,12.815999999999999,0.569,13.877,10.487,9.752,0.5670000000000001,13.579,10.285,10.182,2.3680000000000003,4.381,139.0,143.09799999999998
15,GTD,David Heinemeier Hansson,2,1:32.138,1900-01-01 00:03:14.338000,Green,Track,3.3289999999999997,12.797,0.565,13.75,10.419,9.731,0.564,13.647,10.321,10.208,2.399,4.408,139.984,143.859
63,GTD,Cooper MacNeil,2,1:32.219,1900-01-01 00:03:14.551000,Green,Track,3.592,12.615,0.5589999999999999,14.079,10.370999999999999,9.755,0.568,13.478,10.384,10.11,2.349,4.359,141.486,142.846
16,GTD,Michael Schein,2,1:34.503,1900-01-01 00:03:17.712000,Green,Track,3.535,13.15,0.575,14.463,10.763,9.862,0.5760000000000001,13.624,10.481,10.556,2.445,4.473,137.549,140.862
75,GTD,Kenny Habul,2,1:36.327,1900-01-01 00:03:19.715000,Green,Track,3.553,13.177,0.5710000000000001,16.028,11.061,9.801,0.5720000000000001,14.035,10.332,10.435,2.381,4.381,138.513,141.847
96,GTD,Robby Foley,2,1:35.048,1900-01-01 00:03:20.246000,Green,Track,3.58,13.273,0.5720000000000001,14.724,10.98,9.863,0.5670000000000001,13.948,10.402999999999999,10.331,2.392,4.415,138.27100000000002,143.09799999999998
58,GTD,Christina Nielsen,2,1:36.193,1900-01-01 00:03:21.314000,Green,Track,3.65,13.494000000000002,0.573,15.134,10.712,9.937000000000001,0.5720000000000001,14.155999999999999,10.583,10.475,2.432,4.475,138.03,141.847
44,GTD,John Potter,2,1:36.039,1900-01-01 00:03:21.644000,Green,Track,3.653,13.175999999999998,0.574,15.148,10.868,9.905,0.5760000000000001,14.039000000000001,10.649000000000001,10.55,2.431,4.47,137.789,140.862
6,P,Juan Pablo Montoya,3,1:25.824,1900-01-01 00:04:21.546000,Green,Track,3.0789999999999997,11.388,0.519,13.325,10.175,8.916,0.527,12.724,9.716000000000001,9.324,2.136,3.995,152.391,153.959
7,P,Helio Castroneves,3,1:26.364,1900-01-01 00:04:23.324000,Green,Track,3.134,11.229000000000001,0.517,13.582,10.331,8.86,0.536,12.932,9.906,9.279,2.108,3.95,152.98,151.374
5,P,Joao Barbosa,3,1:25.889,1900-01-01 00:04:24.608000,Green,Track,2.995,11.370999999999999,0.521,13.005,9.951,8.943999999999999,0.525,13.068,9.796,9.527999999999999,2.151,4.034,151.806,154.545
22,P,Pipo Derani,3,1:31.234,1900-01-01 00:04:25.692000,Green,Track,3.11,11.120999999999999,0.512,16.055,10.982000000000001,8.83,0.516,13.139000000000001,10.152999999999999,10.6,2.2030000000000003,4.013,154.474,157.241
10,P,Renger Van Der Zande,3,1:26.410,1900-01-01 00:04:25.877000,Green,Track,3.0639999999999996,11.4,0.519,13.039000000000001,9.861,8.917,0.527,12.852,9.94,10.074,2.174,4.043,152.391,153.959
31,P,Eric Curran,3,1:26.118,1900-01-01 00:04:26.200000,Green,Track,3.141,11.54,0.522,12.972999999999999,9.756,8.94,0.526,12.713,9.772,9.972999999999999,2.209,4.053,151.515,154.252
77,P,Tristan Nunez,3,1:26.164,1900-01-01 00:04:26.340000,Green,Track,3.2289999999999996,11.662,0.519,13.044,9.963,8.866,0.527,12.704,9.885,9.549,2.141,4.075,152.391,153.959
55,P,Jonathan Bomarito,3,1:25.937,1900-01-01 00:04:26.560000,Green,Track,3.128,11.606,0.521,13.332,9.88,8.826,0.525,12.727,9.725,9.552999999999999,2.149,3.965,151.806,154.545
2,P,Scott Sharp,3,1:26.172,1900-01-01 00:04:28.367000,Green,Track,2.943,11.422,0.515,13.69,9.972000000000001,8.841000000000001,0.518,12.857000000000001,9.863999999999999,9.455,2.135,3.96,153.575,156.634
99,P,Misha Goikhberg,3,1:27.600,1900-01-01 00:04:28.928000,Green,Track,3.036,11.254000000000001,0.506,14.944,10.337,8.836,0.513,13.05,9.755,9.338,2.106,3.925,156.306,158.161
52,P,Sebastian Saavedra,3,1:26.675,1900-01-01 00:04:30.026000,Green,Track,3.01,11.311,0.516,13.353,10.360999999999999,8.89,0.522,13.085999999999999,9.826,9.625,2.173,4.002,153.27700000000002,155.434
85,P,Robert Alon,3,1:26.676,1900-01-01 00:04:30.349000,Green,Track,3.135,11.32,0.509,13.402999999999999,10.225,8.872,0.523,13.21,9.862,9.537,2.127,3.9530000000000003,155.385,155.136
90,P,Matthew McMurry,3,1:26.725,1900-01-01 00:04:30.905000,Green,Track,3.009,11.425,0.52,13.224,10.277000000000001,8.965,0.531,13.022,10.088,9.42,2.19,4.053999999999999,152.09799999999998,152.799
54,P,Jonathan Bennett,3,1:27.985,1900-01-01 00:04:35.839000,Green,Track,3.386,11.565,0.514,13.63,10.219,8.892000000000001,0.519,13.238,10.082,9.785,2.1630000000000003,3.992,153.873,156.332
48,GTD,Bryan Sellers,3,1:31.285,1900-01-01 00:04:42.788000,Green,Track,3.345,12.735,0.573,13.527999999999999,10.482999999999999,9.812999999999999,0.578,13.16,10.113,10.134,2.383,4.44,138.03,140.374
86,GTD,Katherine Legge,3,1:31.062,1900-01-01 00:04:43.163000,Green,Track,3.3789999999999996,12.61,0.568,13.482000000000001,10.305,9.735,0.574,13.388,10.142000000000001,10.121,2.363,4.395,139.245,141.35299999999998
93,GTD,Justin Marks,3,1:31.604,1900-01-01 00:04:44.062000,Green,Track,3.491,12.562000000000001,0.5670000000000001,13.700999999999999,10.415999999999999,9.761000000000001,0.573,13.308,10.36,10.087,2.37,4.408,139.49,141.599
14,GTD,Dominik Baumann,3,1:31.399,1900-01-01 00:04:44.453000,Green,Track,3.391,12.48,0.56,13.789000000000001,10.435,9.679,0.569,13.343,10.300999999999998,10.124,2.358,4.37,141.234,142.595
